915: 2598,3751,3245,2226,647
916: 345,4404,4172
917: 3662,3648,2593,3601,2147
918: 1041,1276,2410
919: 3648,4497
920: 4364,3458,2544,496
4691: 1957,4640,453,40,4003,4548
922: 2536,600,2999,2293,699,2135
923: 3529,3238
924: 278,334,3610,4296,2256
925: 2040,2589,4273
4706: 
927: 421,4377,2660,3050,1008
4524: 3484,4140,4518,1985
4794: 4106,3675,4812
930: 865,2941,2528,2175
931: 2836,2372,436,2272
932: 707,3098,445,1626
933: 3795,4044,1191,588,190
934: 
4604: 4294,4202,3298
936: 2104,345,2676,527
937: 332,1116,100,732,4398
938: 3342,2554
939: 3534,4518,2615
940: 4274,4560,1469
4416: 1713,633,3485
942: 189,952,2358,2882,2579,308
943: 3323,2614,3253
944: 1154,1332,3318
945: 
4784: 875,964
947: 1073,867,1711,4244
948: 2149,3702,2424,4382,1153
949: 1156,1356,2321,2365
950: 3587
951: 4603,2436,103,2548,4001,1244
952: 189,3108,942,2358,308
953: 2949,681,1341,4161
4704: 1394,1230,4155
4479: 4086,1771,3413,2600
4717: 966,2018
957: 2312,420
958: 357,1998,710,3280,1783
959: 2412
960: 2710
961: 
962: 3267,747,4144
963: 1719,4618,394,882,4675
964: 284,4784,1827,3596
965: 213,2100,2836,901
966: 4717,2018
4683: 2405,1294,1858
968: 3881,1515,4708,1972
4399: 3379,2851,4308,1849,2048
970: 1951
971: 40,4003,3310
972: 372,1970,3483,4723,1432
973: 611,3984,4405
974: 2072,3964,3674
4789: 1463,678,2749
976: 802,4700,2767,3849
4806: 1770,1325
978: 2338,2691,2683,1636
4319: 251,1332,1815
980: 1093,2925
981: 4507
982: 3600,2757,1155
983: 4230,298,4321,4490,326
984: 3250,2970,2158
985: 2775,4030,2205
986: 4716
987: 3505,4359,1035,1991,1740
988: 4110,4427,3611
989: 4498,3768,1906,2881
990: 3812,4160
991: 
4546: 
993: 2640,4239,2493,4680
994: 3696,472
995: 2538,2519,886
996: 1162,720,3764,4292,2757
997: 1015,4037,1874,3578
998: 2588
4752: 4338,2543,4680,762,2393,33
1000: 3032,2046
4462: 2814,2930,864,795
1002: 3538,1047,427,2662
1003: 695,4801
1004: 1342,4523,4684
1005: 1624,2209,4765
1006: 2073,248
1007: 2228,4336
1008: 4384,3050,1450,927
1009: 1339,4103,2145
1010: 1436,2702,4656,3957,2339
1011: 3494,2950,296
1012: 1063,3691,2959,3722
1013: 1431,3724,379,509
1014: 4347,3999,1078
1015: 997,1470,4037
1016: 789,639
1017: 1921,2177,1589
1018: 907,168,1956,1498,1664
1019: 4815,652,1496,610
1020: 664,738,4047
1021: 2550
1022: 3785,1419,1441,593
4560: 1751,1469,4274,940
1024: 3434,2954,138,1881,772
1025: 4818,1509
4603: 2436,951,103,2548
1027: 
1028: 2365,2831,784,92,2654
1029: 297,2392,1168
1030: 4007,186,2198
1031: 504,4569,3746,242
4610: 4295,1115,3482,1578
1033: 3520,27,1458,125
1034: 484,1879,3290,832,1069
1035: 3505,4359,987,4180
1036: 539,630
1037: 1234,138,4014
1038: 2484,605
4757: 3352,3151
1040: 4578,3682,4079,4447,2928
1041: 3393,4741,918,4085,1276,3125
1042: 297,1090,4078,1871,2279
1043: 1274,555,1759
1044: 3225,3546,1570
4557: 2125,3338
1046: 1998,491,3787,1288,3051,791
1047: 1391,2152,1002,1898,2662
1048: 4755,3568,4653,1402
1049: 
1050: 1125,2012,3243,2852,1924
4516: 4327,885,4817,2143
1052: 2506,0,4441,1696
1053: 4422,1197,385
1054: 2543,4680
1055: 3696,2389
1056: 257,2616,2552
1057: 
1058: 1165,282,1762
1059: 1860,1927,3550,1418,584
4504: 3548,4796
1061: 758,361
1062: 2644,2808,2174
1063: 1012,3691,2959,1119,2857,1262,1346
1064: 1202
1065: 322,3447,339,3932
1066: 1155,1269,225
1067: 1583,1647,2266
4543: 450,412,1428,4463,1088
1069: 832,1034,747,4128
1070: 8,823,3526,4736
1071: 2637,1651,3833,4030,2205
1072: 2999,2293,4282,3036,3201,2941,3845
1073: 947,4244,2972
1074: 2914,4072,1383,1640,2979
1075: 2214,3407
1076: 1690,4595,2530,598,1406,3080,3645
1077: 3023
1078: 1427,1014
1079: 18,1090,4655,3139,1619
1080: 111,1219,1949,4670,49,1558
1081: 1922,4054,2613
1082: 743,3100
1083: 1841,305,1918,2812
1084: 2224,3795,2140
1085: 1889,2924
1086: 1608,2830,3733,900,1976
4395: 2228
1088: 407,1868,450,4543,2201
1089: 1348,2239,2866,4192,41
1090: 1042,1079,2279,1619,1168
1091: 2985,1591,151
1092: 1684,2215,4371,2156,4212
1093: 980,1650,4300
1094: 275,350,3281,3491,2323
1095: 3849,3996,1969
1096: 2440,3943,514
4698: 4306,2691,415,4428,615
1098: 3753
1099: 2474,2544,4364,59
1100: 1370,4446,812,1574
1101: 3799,542,2091,799
1102: 389,4715,2006
4444: 3350,2208,727,304
1104: 3619,4686,3357,826,857
1105: 1378,557
4798: 4754,4539,2047,1697
1107: 4762,4803,3718
1108: 1404,1817,1460,1947
1109: 92,4192,2654,3334
1110: 3748,4114
1111: 3140,3348
1112: 553,3374,3185
1113: 1849,2048,424,2952
1114: 2496,3896,3395
1115: 4610,4295,4019
1116: 332,255,937,338,1118
1117: 636,1903,4279,2152,525
1118: 4329,338,729,332,255,1116
1119: 2959,4709,2857,1063
1120: 1510,2178,3403,1261,4351,2768
1121: 582
1122: 1803,2336,1607
1123: 3682,4079,3822,3875
1124: 3765,4268
1125: 2012,1050,3221,1487
1126: 2219,24
1127: 871,2859,2001,1971
1128: 2796,834
1129: 
1130: 
4523: 4684,2542,2876,1004
1132: 2802,4328,56,4489
1133: 267,2430,2813,4330,460
1134: 58,4637,1805,3476
1135: 401
1136: 4633,726,3612,2391
1137: 2302,1585,1568
1138: 2583
1139: 1905,1962
4747: 1379,1421
1141: 3245,4064
4508: 1255,2795,1348,2239,2352
1143: 1778
1144: 3992,4482
1145: 1886,3839,3436,643,4252,4360,2839
1146: 3661,3460
1147: 3466
1148: 2193,4618
1149: 3240,2361,425
1150: 2473,1880,2841,1862,4116
1151: 3809,3116
1152: 687,2855
1153: 199,3218,948,4382
1154: 944,4396,1480,3318
1155: 1066,3600,982,3544,1920
1156: 1618,1356,949
4725: 2456
1158: 
1159: 
1160: 485,1644,3539,283
1161: 1864,1494,134,614
1162: 996,720
1163: 4301,4210
1164: 4808,4566
1165: 1058,282,3315
